iter	front=0.95, back=0.95	front=0.99, back=0.91	front=0.91, back=0.99
0	2.0160574913	2.0180764198	2.0148227215
10	0.6590417027	0.6956352592	0.6941457391
20	114.6622161865	10.9226608276	106.6762084961
30	114.6622161865	10.9226608276	106.6762084961
40	114.6622161865	10.9226608276	106.6762084961
50	114.6622161865	10.9226608276	106.6762084961
60	114.6622161865	10.9226608276	106.6762084961
70	114.6622161865	10.9226608276	106.6762084961
80	114.6622161865	10.9226608276	106.6762084961
90	114.6622161865	10.9226608276	106.6762084961
100	114.6622161865	10.9226608276	106.6762084961
110	114.6622161865	10.9226608276	106.6762084961
120	114.6622161865	10.9226608276	106.6762084961
130	114.6622161865	10.9226608276	106.6762084961
140	114.6622161865	10.9226608276	106.6762084961
150	114.6622161865	10.9226608276	106.6762084961
160	114.6622161865	10.9226608276	106.6762084961
170	114.6622161865	10.9226608276	106.6762084961
180	114.6622161865	10.9226608276	106.6762084961
190	114.6622161865	10.9226608276	106.6762084961
200	114.6622161865	10.9226608276	106.6762084961
210	114.6622161865	10.9226608276	106.6762084961
220	114.6622161865	10.9226608276	106.6762084961
230	114.6622161865	10.9226608276	106.6762084961
240	114.6622161865	10.9226608276	106.6762084961
250	114.6622161865	10.9226608276	106.6762084961
260	114.6622161865	10.9226608276	106.6762084961
270	114.6622161865	10.9226608276	106.6762084961
280	114.6622161865	10.9226608276	106.6762084961
290	114.6622161865	10.9226608276	106.6762084961
300	114.6622161865	10.9226608276	106.6762084961
310	114.6622161865	10.9226608276	106.6762084961
320	114.6622161865	10.9226608276	106.6762084961
330	114.6622161865	10.9226608276	106.6762084961
340	114.6622161865	10.9226608276	106.6762084961
350	114.6622161865	10.9226608276	106.6762084961
360	114.6622161865	10.9226608276	106.6762084961
370	114.6622161865	10.9226608276	106.6762084961
380	114.6622161865	10.9226608276	106.6762084961
390	114.6622161865	10.9226608276	106.6762084961
